Company,Bean_Origin_or_Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
A. Morin,Agua Grande,1876,2016,63.0,France,3.75,None,Sao Tome & Principe
A. Morin,Kpime,1676,2015,70.0,France,2.75,None,Togo
A. Morin,Atsane,1676,2015,70.0,France,3.0,None,Togo
A. Morin,Akata,1680,2015,70.0,France,3.5,None,Togo
A. Morin,Quilla,1704,2015,70.0,France,3.5,None,Peru
A. Morin,Carenero,1315,2014,70.0,France,2.75,,Venezuela
A. Morin,Cuba,1315,2014,70.0,France,3.5,None,Cuba
A. Morin,Sur del Lago,1315,2014,70.0,France,3.5,,Venezuela
A. Morin,Puerto Cabello,1319,2014,70.0,France,3.75,,Venezuela
A. Morin,Pablino,1319,2014,70.0,France,4.0,None,Peru
A. Morin,Panama,1011,2013,70.0,France,2.75,None,Panama
A. Morin,Madagascar,1011,2013,70.0,France,3.0,,Madagascar
A. Morin,Brazil,1011,2013,70.0,France,3.25,None,Brazil
A. Morin,Equateur,1011,2013,70.0,France,3.75,None,Ecuador
A. Morin,Colombie,1015,2013,70.0,France,2.75,None,Colombia
A. Morin,Birmanie,1015,2013,70.0,France,3.0,None,Myanmar
A. Morin,Papua New Guinea,1015,2013,70.0,France,3.25,None,Papua New Guinea
A. Morin,Chuao,1015,2013,70.0,France,4.0,,Venezuela
A. Morin,Piura,1019,2013,70.0,France,3.25,None,Peru
A. Morin,Chanchamayo Province,1019,2013,70.0,France,3.5,None,Peru
A. Morin,Chanchamayo Province,1019,2013,63.0,France,4.0,None,Peru
A. Morin,Bolivia,797,2012,70.0,France,3.5,None,Bolivia
A. Morin,Peru,797,2012,63.0,France,3.75,None,Peru
Acalli,"Chulucanas, El Platanal",1462,2015,70.0,United States of America,3.75,None,Peru
Acalli,"Tumbes, Norandino",1470,2015,70.0,United States of America,3.75,,Peru
Adi,Vanua Levu,705,2011,60.0,Fiji,2.75,,Fiji
Adi,"Vanua Levu, Toto-A",705,2011,80.0,Fiji,3.25,,Fiji
Adi,Vanua Levu,705,2011,88.0,Fiji,3.5,,Fiji
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,72.0,Fiji,3.5,,Fiji
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,55.0,Ecuador,2.75,,Ecuador
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,70.0,Ecuador,3.0,,Ecuador
Ah Cacao,Tabasco,316,2009,70.0,Mexico,3.0,,Mexico
Akesson's (Pralus),"Bali (west), Sukrama Family, Melaya area",636,2011,75.0,Switzerland,3.75,,Indonesia
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75.0,Switzerland,2.75,,Madagascar
Akesson's (Pralus),"Monte Alegre, D. Badero",508,2010,75.0,Switzerland,2.75,,Brazil
Alain Ducasse,Trinite,1215,2014,65.0,France,2.75,,Trinidad Tobago
Alain Ducasse,Vietnam,1215,2014,75.0,France,2.75,,Vietnam
Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,,Madagascar
Alain Ducasse,Chuao,1061,2013,75.0,France,2.5,,Venezuela
Alain Ducasse,"Piura, Perou",1173,2013,75.0,France,2.5,None,Peru
Alexandre,"Winak Coop, Napo",1944,2017,70.0,Netherlands,3.5,,Ecuador
Alexandre,"La Dalia, Matagalpa",1944,2017,70.0,Netherlands,3.5,,Nicaragua
Alexandre,Tien Giang,1944,2017,70.0,Netherlands,3.5,,Vietnam
Alexandre,"Makwale Village, Kyela",1944,2017,70.0,Netherlands,3.5,,Tanzania
Altus aka Cao Artisan,Momotombo,1728,2016,60.0,United States of America,2.75,None,Nicaragua
Altus aka Cao Artisan,Acopagro,1728,2016,60.0,United States of America,3.0,None,Peru
Altus aka Cao Artisan,CIAAB Coop,1732,2016,60.0,United States of America,2.5,None,Bolivia
Altus aka Cao Artisan,Villa Andina,1732,2016,60.0,United States of America,2.5,None,Peru
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60.0,United States of America,2.75,None,Ecuador
Altus aka Cao Artisan,Sur del Lago,1125,2013,60.0,United States of America,2.5,None,Venezuela
Altus aka Cao Artisan,Conacado,1125,2013,60.0,United States of America,3.0,,Dominican Republic
Altus aka Cao Artisan,Bolivia,1129,2013,80.0,United States of America,3.25,None,Bolivia
Altus aka Cao Artisan,Bolivia,1133,2013,60.0,United States of America,3.0,None,Bolivia
Altus aka Cao Artisan,Peru,1133,2013,60.0,United States of America,3.25,None,Peru
Amano,Morobe,725,2011,70.0,United States of America,4.0,None,Papua New Guinea
Amano,Dos Rios,470,2010,70.0,United States of America,3.75,None,Dominican Republic
Amano,Guayas,470,2010,70.0,United States of America,4.0,None,Ecuador
Amano,Chuao,544,2010,70.0,United States of America,3.0,,Venezuela
Amano,Montanya,363,2009,70.0,United States of America,3.0,None,Venezuela
Amano,"Bali, Jembrana",304,2008,70.0,United States of America,2.75,None,Indonesia
Amano,Madagascar,129,2007,70.0,United States of America,3.5,,Madagascar
Amano,Cuyagua,147,2007,70.0,United States of America,3.0,None,Venezuela
Amano,Ocumare,175,2007,70.0,United States of America,3.75,,Venezuela
Amatller (Simon Coll),Ghana,322,2009,70.0,Spain,3.0,,Ghana
Amatller (Simon Coll),Ecuador,327,2009,70.0,Spain,2.75,None,Ecuador
Amatller (Simon Coll),Ecuador,464,2009,85.0,Spain,2.75,None,Ecuador
Amatller (Simon Coll),Ghana,464,2009,85.0,Spain,3.0,,Ghana
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72.0,Peru,3.25,None,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73.0,Peru,3.5,,Peru
